Phone number,Swimmer name,Team,Date,Time,Competion name,Placement
49 68 37 20,Frank Hvam,SENIOR,2025-01-31,180.2,,
49 68 37 20,Frank Hvam,SENIOR,2025-02-16,167.8,,
49 68 37 20,Frank Hvam,SENIOR,2025-01-03,170.3,DM Kortbane,4
49 68 37 20,Frank Hvam,SENIOR,2025-01-02,213.5,Cup Odense,1
49 68 37 20,Frank Hvam,SENIOR,2025-01-08,171.4,Cup Århus,5
65 43 23 78,Lina Rafn,SENIOR,2025-03-09,151.8,,
65 43 23 78,Lina Rafn,SENIOR,2025-01-18,216.1,,
65 43 23 78,Lina Rafn,SENIOR,2025-03-17,156.6,,
65 43 23 78,Lina Rafn,SENIOR,2025-03-04,224.5,Junior Cup,5
65 43 23 78,Lina Rafn,SENIOR,2025-04-22,221.0,Jysk Mesterskab,4
32 32 34 35,Harry Potter,SENIOR,2025-02-04,162.6,,
32 32 34 35,Harry Potter,SENIOR,2025-03-05,225.1,,
32 32 34 35,Harry Potter,SENIOR,2025-01-29,156.9,,
32 32 34 35,Harry Potter,SENIOR,2025-03-15,172.2,Jysk Mesterskab,4
32 32 34 35,Harry Potter,SENIOR,2025-03-12,164.4,Cup Århus,3
32 32 34 35,Harry Potter,SENIOR,2025-04-29,208.8,Jysk Mesterskab,5
67 58 37 19,Will Smith,SENIOR,2025-01-14,219.2,,
67 58 37 19,Will Smith,SENIOR,2025-02-18,169.4,,
67 58 37 19,Will Smith,SENIOR,2025-01-12,183.0,,
67 58 37 19,Will Smith,SENIOR,2025-01-07,203.0,Cup Odense,6
67 38 95 01,Hjalte Happy,SENIOR,2025-04-04,167.6,,
67 38 95 01,Hjalte Happy,SENIOR,2025-01-19,190.6,,
67 38 95 01,Hjalte Happy,SENIOR,2025-02-23,218.5,DM Kortbane,4
67 38 95 01,Hjalte Happy,SENIOR,2025-03-28,158.0,DM Langbane,6
12 12 12 12,Emilos VonBilos,SENIOR,2025-03-18,162.0,,
12 12 12 12,Emilos VonBilos,SENIOR,2025-02-28,183.4,,
12 12 12 12,Emilos VonBilos,SENIOR,2025-02-07,178.5,Cup Århus,3
12 12 12 12,Emilos VonBilos,SENIOR,2025-01-26,196.9,DM Langbane,3
14 14 14 14,August Agust,SENIOR,2025-01-02,161.6,,
14 14 14 14,August Agust,SENIOR,2025-02-13,195.8,,
14 14 14 14,August Agust,SENIOR,2025-02-12,151.7,DM Langbane,2
14 14 14 14,August Agust,SENIOR,2025-03-09,185.5,DM Kortbane,5
