Phone number,Swimmer name,Team,Date,Time,Competion name,Placement
14 14 14 14,August Agust,SENIOR,1212-12-12,230.0,,,
49 68 37 20,Frank Hvam,SENIOR,2025-03-14,158.3,,,
78 69 49 21,Winnie Pooh,JUNIOR,2025-05-10,153.4,,,
65 43 23 78,Lina Rafn,SENIOR,2025-04-12,157.1,,,
32 32 34 35,Harry Potter,SENIOR,2025-02-08,154.0,,,
11 11 11 91,Frodo Baggins,SENIOR,2025-03-22,152.2,,,
67 58 37 19,Will Smith,SENIOR,2025-01-18,153.5,,,
93 28 72 41,Alfred Lutten,SENIOR,2025-03-30,155.8,,,
12 12 12 12,Emilos VonBilos,SENIOR,2025-04-27,156.0,,,
14 14 14 14,August Agust,SENIOR,2025-04-12,157.2,,,
41 89 34 01,Mette Frederiksen,JUNIOR,2025-03-14,155.7,,,
49 68 37 20,Frank Hvam,SENIOR,2025-04-21,152.4,DM Langbane,3
78 69 49 21,Winnie Pooh,JUNIOR,2025-02-28,151.3,Jysk Mesterskab,2
65 43 23 78,Lina Rafn,SENIOR,2025-04-03,150.2,DM Kortbane,1
32 32 34 35,Harry Potter,SENIOR,2025-03-22,153.1,DM Langbane,4
11 11 11 91,Frodo Baggins,SENIOR,2025-01-25,155.5,Cup Århus,5
67 58 37 19,Will Smith,SENIOR,2025-03-11,149.6,DM Kortbane,3
93 28 72 41,Alfred Lutten,SENIOR,2025-02-20,154.2,Jysk Mesterskab,2
14 14 14 14,August Agust,SENIOR,2025-04-15,152.5,Cup Odense,6
41 89 34 01,Mette Frederiksen,JUNIOR,2025-03-19,153.8,Junior Cup,4
14 14 14 14,August Agust,SENIOR,2025-03-13,153.7,,,
65 43 23 78,Lina Rafn,SENIOR,2025-02-15,156.6,,,
93 28 72 41,Alfred Lutten,SENIOR,2025-04-20,158.3,,,
93 28 72 41,Alfred Lutten,SENIOR,2025-01-06,154.5,,,
32 32 34 35,Harry Potter,SENIOR,2025-04-03,150.3,,,
65 43 23 78,Lina Rafn,SENIOR,2025-03-17,156.4,,,
14 14 14 14,August Agust,SENIOR,2025-01-12,154.3,,,
49 68 37 20,Frank Hvam,SENIOR,2025-03-29,159.8,DM Kortbane,4
49 68 37 20,Frank Hvam,SENIOR,2025-04-20,156.5,,,
12 12 12 12,Emilos VonBilos,SENIOR,2025-01-04,152.0,Junior Cup,2
11 11 11 91,Frodo Baggins,SENIOR,2025-02-28,151.4,,,
41 89 34 01,Mette Frederiksen,JUNIOR,2025-02-12,150.1,,,
49 68 37 20,Frank Hvam,SENIOR,2025-03-27,156.2,Cup Århus,3
41 89 34 01,Mette Frederiksen,JUNIOR,2025-03-11,159.7,,,
41 89 34 01,Mette Frederiksen,JUNIOR,2025-02-09,158.8,,,
12 12 12 12,Emilos VonBilos,SENIOR,2025-01-15,158.7,,,
41 89 34 01,Mette Frederiksen,JUNIOR,2025-04-14,155.4,Jysk Mesterskab,2
49 68 37 20,Frank Hvam,SENIOR,2025-03-04,151.1,Cup Århus,6
49 68 37 20,Frank Hvam,SENIOR,2025-01-14,153.8,,,
93 28 72 41,Alfred Lutten,SENIOR,2025-04-27,158.5,Cup Odense,3
12 34 56 78,abcd,SENIOR,2020,500.0,,,
12 34 56 78,abcd,SENIOR,2020-02-02,500.0,stort,1
